investor_id,fund_id,date,type,amount_m
1,9,2010-12-31,Capital Call,-0.11342702721070912
1,9,2011-03-31,Capital Call,-0.07045230916723927
1,9,2011-06-30,Capital Call,-0.08289290627137076
1,9,2012-03-31,Capital Call,-0.24157261176833644
1,9,2012-12-31,Capital Call,-0.10337315863365173
1,9,2013-09-30,Capital Call,-0.1723852607900279
1,9,2015-12-31,Distribution,0.04944245741459143
1,9,2016-12-31,Distribution,0.10432647064131824
1,9,2019-03-31,Distribution,0.5953769826357808
1,9,2020-09-30,Distribution,0.49060371565959165
1,9,2020-12-31,Distribution,0.1818414360221502
1,9,2021-03-31,Distribution,0.27856110970094916
1,9,2021-06-30,Distribution,0.2001189029618105
1,9,2021-09-30,Distribution,0.25056172998240667
1,9,2022-06-30,Distribution,1.1985147843950814
2,8,2010-12-31,Capital Call,-0.3086452252604589
2,8,2011-06-30,Capital Call,-0.11956373862243387
2,8,2011-09-30,Capital Call,-0.24893476826924715
2,8,2013-03-31,Capital Call,-0.14469727097750726
2,8,2014-09-30,Capital Call,-0.3555005694078136
2,8,2015-06-30,Capital Call,-0.3077605988797321
2,8,2015-12-31,Distribution,0.14799882051865626
2,8,2018-09-30,Distribution,0.9949950980194119
2,8,2019-09-30,Distribution,1.28195347304156
2,8,2019-12-31,Distribution,0.6172361229401858
2,8,2020-12-31,Distribution,1.1499817402811983
2,8,2021-03-31,Distribution,1.168497123116003
2,8,2021-06-30,Distribution,1.2466845199499248
2,8,2021-12-31,Distribution,0.8810332233695755
2,8,2022-03-31,Distribution,0.6508045207410156
2,7,2010-03-31,Capital Call,-0.2601399108010573
2,7,2010-06-30,Capital Call,-0.12131831400126573
2,7,2010-09-30,Capital Call,-0.40153976429802785
2,7,2011-12-31,Capital Call,-0.27062597643808783
2,7,2012-03-31,Capital Call,-0.2934378501296691
2,7,2012-09-30,Capital Call,-0.24155800540731817
2,7,2013-03-31,Capital Call,-0.15669668919013385
2,7,2013-09-30,Capital Call,-0.3346834897344404
2,7,2017-12-31,Distribution,1.191603499341116
2,7,2018-06-30,Distribution,1.2096993023895275
2,7,2018-09-30,Distribution,0.964906878230198
2,7,2019-03-31,Distribution,0.4677086000243014
2,7,2021-06-30,Distribution,4.340678481285672
2,1,2012-09-30,Capital Call,-0.14468459861103952
2,1,2015-12-31,Capital Call,-0.26515527873128636
2,1,2016-03-31,Capital Call,-0.4245136958598894
2,1,2018-09-30,Distribution,0.3334209561863904
2,1,2020-09-30,Distribution,0.35165169829868126
2,1,2021-06-30,Distribution,0.5435325725671752
2,1,2021-12-31,Distribution,0.35840906900883757
2,1,2022-03-31,Distribution,0.41537838408050975
2,1,2022-12-31,Distribution,0.6627222222765765
2,1,2023-06-30,Distribution,0.587656606505435
2,1,2023-09-30,Distribution,0.3414593922956495
2,1,2023-12-31,Distribution,0.46187282873562663
3,18,2010-12-31,Capital Call,-0.17231340770081208
3,18,2011-06-30,Capital Call,-0.27136383065327424
3,18,2011-12-31,Capital Call,-0.3089575855284715
3,18,2013-03-31,Capital Call,-0.11061170699446664
3,18,2013-09-30,Capital Call,-0.13991838543010043
3,18,2014-09-30,Capital Call,-0.17183790782878955
3,18,2016-12-31,Distribution,0.35246688780523633
3,18,2018-03-31,Distribution,0.6384337530936984
3,18,2018-09-30,Distribution,0.7639765283684767
3,18,2019-09-30,Distribution,0.7013552894036877
3,18,2021-06-30,Distribution,1.0615767094883917
3,18,2021-12-31,Distribution,1.1419395634224436
3,18,2022-03-31,Distribution,0.32608937009610445
3,12,2014-09-30,Capital Call,-0.27213622204622434
3,12,2014-12-31,Capital Call,-0.15570910844506622
3,12,2015-06-30,Capital Call,-0.2220105625310415
3,12,2015-09-30,Capital Call,-0.1411400491443935
3,12,2015-12-31,Capital Call,-0.12873375173634052
3,12,2018-06-30,Capital Call,-0.26683165502580913
3,12,2019-09-30,Distribution,0.17788578007151476
3,12,2020-12-31,Distribution,0.9555903280791557
3,12,2021-06-30,Distribution,0.289821084620394
3,12,2021-09-30,Distribution,0.452439571598927
3,12,2022-03-31,Distribution,1.1908938346812799
3,12,2022-12-31,Distribution,0.4480645084254655
3,12,2023-03-31,Distribution,1.7460054193171142
3,12,2023-09-30,Distribution,0.7228896263246477
3,14,2010-09-30,Capital Call,-0.3578046959093977
3,14,2011-03-31,Capital Call,-0.1073732929450289
3,14,2011-09-30,Capital Call,-0.1719378703450303
3,14,2012-03-31,Capital Call,-0.3337560320861272
3,14,2012-09-30,Capital Call,-0.3376982278371144
3,14,2013-09-30,Capital Call,-0.10765768565435735
3,14,2016-06-30,Distribution,0.12127680526314054
3,14,2017-06-30,Distribution,0.4106247296795588
3,14,2017-09-30,Distribution,0.6831233472714042
3,14,2019-03-31,Distribution,0.5515147781080822
3,14,2019-06-30,Distribution,0.1609912095285195
3,14,2020-09-30,Distribution,0.6405660701945459
3,14,2020-12-31,Distribution,0.5876126766947852
3,14,2021-03-31,Distribution,0.24831129798667528
3,14,2021-06-30,Distribution,0.691783475400825
3,14,2021-09-30,Distribution,0.29220946380936463
3,14,2021-12-31,Distribution,0.5478119009223287
3,14,2022-03-31,Distribution,0.7214248179322009
3,14,2022-06-30,Distribution,0.819808183677624
3,2,2010-09-30,Capital Call,-0.15078394767395437
3,2,2010-12-31,Capital Call,-0.2819869015219222
3,2,2012-03-31,Capital Call,-0.405777134259565
3,2,2012-09-30,Capital Call,-0.23297376050283464
3,2,2014-12-31,Capital Call,-0.23739897212618333
3,2,2015-09-30,Distribution,0.10540515187133244
3,2,2017-03-31,Distribution,0.6425593182140369
3,2,2018-06-30,Distribution,0.6559188030367415
3,2,2018-09-30,Distribution,0.5646108647871313
3,2,2019-03-31,Distribution,0.3516914206535092
3,2,2019-09-30,Distribution,0.11323925125725043
3,2,2019-12-31,Distribution,0.4336847950539347
3,2,2020-06-30,Distribution,0.07609127560745436
3,2,2020-12-31,Distribution,0.4047350718137682
3,2,2021-09-30,Distribution,0.1900926231011322
3,2,2022-03-31,Distribution,0.9684398286169484
3,2,2022-06-30,Distribution,0.643150392355904
4,25,2013-12-31,Capital Call,-0.19204811476934103
4,25,2014-03-31,Capital Call,-0.22863423256133714
4,25,2014-09-30,Capital Call,-0.266815765144188
4,25,2015-09-30,Capital Call,-0.163815132737369
4,25,2016-09-30,Capital Call,-0.21352010975330624
4,25,2020-09-30,Distribution,0.22537396564010287
4,25,2021-09-30,Distribution,0.7606410226061674
4,25,2021-12-31,Distribution,0.4039630179871774
4,25,2022-03-31,Distribution,0.9103236486285117
4,25,2023-09-30,Distribution,2.717891021439202
4,25,2023-12-31,Distribution,0.6398491921812642
4,9,2011-12-31,Capital Call,-0.18640371817947435
4,9,2012-03-31,Capital Call,-0.24498458946208504
4,9,2012-06-30,Capital Call,-0.2522245257825064
4,9,2012-12-31,Capital Call,-0.2520709110686254
4,9,2014-12-31,Capital Call,-0.2983002141598359
4,9,2015-09-30,Capital Call,-0.3246546371419595
4,9,2016-06-30,Capital Call,-0.28246668207018627
4,9,2018-03-31,Distribution,0.4766078013863735
4,9,2019-03-31,Distribution,0.43515403140014364
4,9,2019-06-30,Distribution,0.4600909717678881
4,9,2019-09-30,Distribution,0.6225634983067988
4,9,2020-06-30,Distribution,0.3110196940706441
4,9,2020-09-30,Distribution,0.7000480233570489
4,9,2021-09-30,Distribution,1.4197748486368331
4,9,2021-12-31,Distribution,1.2188992636495908
4,9,2022-06-30,Distribution,0.4295449411510901
4,9,2022-09-30,Distribution,1.4005051867689078
4,9,2022-12-31,Distribution,1.1609342773462974
4,14,2010-06-30,Capital Call,-0.18842067874853521
4,14,2011-06-30,Capital Call,-0.21738275055678136
4,14,2011-09-30,Capital Call,-0.32866248479683907
4,14,2013-06-30,Capital Call,-0.1343364338297253
4,14,2014-03-31,Capital Call,-0.09894648292173264
4,14,2014-12-31,Capital Call,-0.26434031673110947
4,14,2016-06-30,Distribution,0.04673747626986792
4,14,2018-06-30,Distribution,0.588648472667251
4,14,2019-06-30,Distribution,1.0462240799020286
4,14,2020-12-31,Distribution,1.3524914981449865
4,14,2021-03-31,Distribution,0.3004373079752777
4,14,2021-06-30,Distribution,1.178230442096428
4,14,2021-09-30,Distribution,1.179283203098537
4,14,2021-12-31,Distribution,0.6647986140529211
4,4,2013-03-31,Capital Call,-0.5600921493528273
4,4,2013-06-30,Capital Call,-0.23859147095541086
4,4,2013-09-30,Capital Call,-0.5188470635613376
4,4,2013-12-31,Capital Call,-0.1509156819865202
4,4,2014-03-31,Capital Call,-0.20307462930257256
4,4,2017-09-30,Capital Call,-0.25871324002298485
4,4,2018-09-30,Distribution,0.7499989870907142
4,4,2018-12-31,Distribution,1.0972163508002826
4,4,2019-06-30,Distribution,0.7049859814870494
4,4,2020-09-30,Distribution,0.7332523357418604
