investor_id,fund_id,date,nav_m
1,9,2010-09-30,0.0
1,9,2010-12-31,0.11655736240349841
1,9,2011-03-31,0.19086244535703917
1,9,2011-06-30,0.289004275613096
1,9,2011-09-30,0.30094144828659547
1,9,2011-12-31,0.3217817179797175
1,9,2012-03-31,0.575929199183251
1,9,2012-06-30,0.5784272492731892
1,9,2012-09-30,0.597404933882493
1,9,2012-12-31,0.7066464970719477
1,9,2013-03-31,0.7348681855379872
1,9,2013-06-30,0.777364982875344
1,9,2013-09-30,0.973292849041424
1,9,2013-12-31,1.0144873953307227
1,9,2014-03-31,1.0971931163115218
1,9,2014-06-30,1.1526409238519415
1,9,2014-09-30,1.2207793333527965
1,9,2014-12-31,1.2741329561218224
1,9,2015-03-31,1.3594173024493619
1,9,2015-06-30,1.3785423776891552
1,9,2015-09-30,1.4367324551076002
1,9,2015-12-31,1.415893331930982
1,9,2016-03-31,1.4937238692389083
1,9,2016-06-30,1.554477864914699
1,9,2016-09-30,1.5860501563460068
1,9,2016-12-31,1.55794843204699
1,9,2017-03-31,1.6199727145093967
1,9,2017-06-30,1.7085867149009386
1,9,2017-09-30,1.77910609324649
1,9,2017-12-31,2.00254016846804
1,9,2018-03-31,2.1484074446572783
1,9,2018-06-30,2.2448947710774605
1,9,2018-09-30,2.4798738310579513
1,9,2018-12-31,2.6730785961212975
1,9,2019-03-31,2.175871282906326
1,9,2019-06-30,2.2984654706095817
1,9,2019-09-30,2.5326365268942204
1,9,2019-12-31,2.5427743307406874
1,9,2020-03-31,2.651814562447389
1,9,2020-06-30,2.77972109594605
1,9,2020-09-30,2.458222095085354
1,9,2020-12-31,2.4333355210083942
1,9,2021-03-31,2.3669512771473187
1,9,2021-06-30,2.345975782367277
1,9,2021-09-30,2.2610341468690582
1,9,2021-12-31,2.7124697020260693
1,9,2022-03-31,2.9282520016763076
1,9,2022-06-30,2.075498893021246
2,8,2010-12-31,0.31312435324826815
2,8,2011-03-31,0.3174407423964944
2,8,2011-06-30,0.4655729874262002
2,8,2011-09-30,0.7573078750353834
2,8,2011-12-31,0.7740099016340356
2,8,2012-03-31,0.7920324102121534
2,8,2012-06-30,0.853319838221139
2,8,2012-09-30,0.8975579449061679
2,8,2012-12-31,0.9169001892470338
2,8,2013-03-31,1.0998302910027316
2,8,2013-06-30,1.156887671370964
2,8,2013-09-30,1.2578453728696815
2,8,2013-12-31,1.3493316351128106
2,8,2014-03-31,1.382400877049927
2,8,2014-06-30,1.4227662342900609
2,8,2014-09-30,1.7880100275705524
2,8,2014-12-31,1.8924962545659842
2,8,2015-03-31,2.058168664482914
2,8,2015-06-30,2.449350346396837
2,8,2015-09-30,2.5237051800638515
2,8,2015-12-31,2.482756198399435
2,8,2016-03-31,2.5551144478883128
2,8,2016-06-30,2.63245543360953
2,8,2016-09-30,2.870257803306512
2,8,2016-12-31,3.0872389218287934
2,8,2017-03-31,3.3539686079505677
2,8,2017-06-30,3.689112628416926
