student_id,K,M,K_norm,M_norm,A_pre,Diagnosis
0,-0.0395845147364879,-0.165787952953906,0.5020911824131519,0.4545897465566777,0.4830906080705622,
1,3.266573425157167,0.9048895163671156,0.9320550647606968,0.5984410042053014,0.7986094405385386,
2,1.3754878250792384,1.3877676902081246,0.6861205022735831,0.6633182754550179,0.676999611546157,
3,1.4093187218817504,0.6268246677307341,0.6905201903698437,0.5610815011519832,0.6387447146826994,
4,0.7536400346570852,-0.6733778383650063,0.6052495653552604,0.3863923243839554,0.5177066689667384,
5,1.5628030494605236,0.2379975626434394,0.7104807362859877,0.5088404951745702,0.6298246398414207,
6,-0.079321401615339,1.0994211482288283,0.4969234238046852,0.6245773717833849,0.547985002996165,
7,1.107998061826068,1.3150280353938728,0.6513336169561025,0.6535453128908644,0.6522182953300073,
8,-0.5173026251344814,-0.5338816598088034,0.4399642250358339,0.4051343837785668,0.4260322885329271,
9,0.1103921038540743,-0.3167139555261477,0.521595552852463,0.4343120290329639,0.4866821433246633,
10,0.9423175844060624,0.8980105663173106,0.6297869689750348,0.5975167803897073,0.6168788935409039,
11,-1.211925815486552,-1.8778551768443277,0.3496288904504509,0.2245643370448783,0.2996030690882219,动机短板型
12,1.8271621866672343,0.352122724044383,0.7448604855399211,0.5241738224064293,0.6565858202865245,
13,0.1635434195381988,-0.2327025167800427,0.5285078499837249,0.4455994161936944,0.4953444764677127,
14,-1.1609246395084254,-1.501095540610103,0.3562615631861494,0.2751840138910726,0.3238305434681187,动机短板型
15,-0.2088472850887124,-0.9933974988741748,0.4800786593574976,0.3433959674458356,0.4254055825928328,
16,-0.8896933165687163,1.5688323934496442,0.3915350361253064,0.6876452889800012,0.5099791372671844,
17,-1.7329977737062008,0.5425791698943472,0.2818637908358317,0.5497626668977387,0.3890233412605945,知识短板型
18,0.0462646782905224,1.214214839065436,0.5132558191308655,0.6400005195287515,0.5639536992900199,
19,0.3110747669653441,1.0644104481445975,0.5476942143561966,0.6198734965430951,0.576565927230956,
