student_id,K,M,K_norm,M_norm,A_pre
0,-0.03958451473648791,-0.16578795295390603,0.5020911824131519,0.4545897465566777,0.48309060807056226
1,3.266573425157167,0.9048895163671157,0.9320550647606967,0.5984410042053014,0.7986094405385386
2,1.3754878250792384,1.3877676902081246,0.6861205022735831,0.6633182754550179,0.676999611546157
3,1.4093187218817504,0.6268246677307341,0.6905201903698437,0.5610815011519832,0.6387447146826994
4,0.7536400346570852,-0.6733778383650063,0.6052495653552604,0.38639232438395543,0.5177066689667384
5,1.5628030494605236,0.23799756264343946,0.7104807362859877,0.5088404951745702,0.6298246398414207
6,-0.07932140161533904,1.0994211482288283,0.4969234238046852,0.6245773717833849,0.547985002996165
7,1.107998061826068,1.3150280353938728,0.6513336169561025,0.6535453128908644,0.6522182953300073
8,-0.5173026251344814,-0.5338816598088034,0.43996422503583393,0.4051343837785668,0.4260322885329271
9,0.1103921038540743,-0.3167139555261477,0.521595552852463,0.43431202903296395,0.48668214332466336
10,0.9423175844060623,0.8980105663173106,0.6297869689750348,0.5975167803897073,0.6168788935409039
11,-1.211925815486552,-1.8778551768443275,0.3496288904504509,0.22456433704487833,0.2996030690882219
12,1.8271621866672345,0.35212272404438305,0.7448604855399211,0.5241738224064293,0.6565858202865245
13,0.16354341953819887,-0.23270251678004272,0.5285078499837249,0.4455994161936944,0.49534447646771274
14,-1.1609246395084254,-1.501095540610103,0.35626156318614943,0.2751840138910726,0.3238305434681187
15,-0.20884728508871245,-0.9933974988741747,0.4800786593574976,0.3433959674458356,0.4254055825928328
16,-0.8896933165687163,1.5688323934496442,0.39153503612530643,0.6876452889800012,0.5099791372671844
17,-1.7329977737062008,0.5425791698943472,0.28186379083583174,0.5497626668977387,0.38902334126059457
18,0.04626467829052242,1.2142148390654361,0.5132558191308655,0.6400005195287515,0.5639536992900199
19,0.31107476696534414,1.0644104481445977,0.5476942143561966,0.6198734965430951,0.576565927230956
20,-0.22318737471209144,-1.4375675141414388,0.4782137391934361,0.2837193448056642,0.40041598143832735
21,-2.2109912693874483,1.0187091775330759,0.2197010197654955,0.6137332858428768,0.377313926196448
22,1.5853843164652148,0.37368305167485033,0.7134174166884902,0.5270705680033324,0.638878677214427
